ティッカー,銘柄コード,現在値,20日リターン(%),60日リターン(%),RSI14,SMA25乖離(%),SMA200乖離(%),ADX14,マッチ戦略数,マッチ戦略,PER,PBR,ROE(%),配当利回り(%),売上高成長(%),時価総額(B$)
7741.T,7741,28235.0,2.5,18.51,55.3,1.2,27.1,15.7,4,F-2_低ボラ安定配当 | I-1_安定バランス | I-5_安定重視ドローダウン抑制 | I-10_ディフェンシブ,46.4,9.29,24.2,88.0,10.5,9545.67
WMT,WMT,121.0,-3.85,9.08,42.8,-3.2,12.0,17.8,4,E-4_空売り低下 | F-2_低ボラ安定配当 | I-5_安定重視ドローダウン抑制 | I-10_ディフェンシブ,44.2,9.66,21.8,82.0,5.6,962.43
4063.T,4063,6060.0,5.39,26.57,50.1,-0.5,23.3,34.7,4,A-4_一目均衡表三役好転 | E-3_セクターローテーション | F-2_低ボラ安定配当 | I-8_モメンタム特化,23.5,2.63,11.5,175.0,-2.1,11249.26
7716.T,7716,2773.0,6.25,42.58,60.4,3.0,32.9,42.3,4,A-4_一目均衡表三役好転 | A-5_相対強度ADX | E-3_セクターローテーション | I-8_モメンタム特化,,2.02,-2.0,221.0,9.8,233.61
MU,MU,404.0,-3.95,46.42,47.6,-2.8,73.5,19.3,3,A-4_一目均衡表三役好転 | I-1_安定バランス | I-2_成長型,19.1,6.29,39.8,15.0,196.3,456.0
FTNT,FTNT,83.0,9.48,2.62,51.6,1.5,-3.8,13.1,3,A-4_一目均衡表三役好転 | C-4_MACDダイバージェンス | I-1_安定バランス,34.2,49.68,135.7,,14.8,61.55
COST,COST,966.0,-2.06,13.13,40.8,-2.9,2.0,18.1,3,F-1_高品質コア | I-5_安定重視ドローダウン抑制 | I-10_ディフェンシブ,50.2,13.35,29.7,54.0,9.2,428.66
JNJ,JNJ,235.0,-3.73,15.01,42.5,-2.9,21.9,22.2,3,F-2_低ボラ安定配当 | I-5_安定重視ドローダウン抑制 | I-10_ディフェンシブ,21.3,6.95,35.0,221.0,9.1,567.34
TSM,TSM,338.0,-8.28,14.3,45.5,-4.5,19.2,24.0,3,E-4_空売り低下 | I-1_安定バランス | I-2_成長型,32.6,51.9,35.1,104.0,20.5,1755.37
9270.T,9270,1757.0,1.91,79.29,49.8,-0.7,53.0,18.6,3,A-4_一目均衡表三役好転 | I-1_安定バランス | I-2_成長型,33.9,2.71,25.0,178.0,30.3,23.15
8058.T,8058,5426.0,8.72,50.01,59.4,5.0,48.3,34.2,3,A-4_一目均衡表三役好転 | E-3_セクターローテーション | F-2_低ボラ安定配当,31.0,2.21,8.5,209.0,9.9,19928.33
8766.T,8766,6857.0,5.9,15.17,68.3,10.6,14.3,23.2,3,A-4_一目均衡表三役好転 | B-4_低PSR高成長 | I-2_成長型,12.5,2.45,20.7,360.0,21.8,12880.22
4751.T,4751,1370.0,4.7,4.58,51.0,2.0,-9.1,14.2,2,E-1_自社株買い | I-1_安定バランス,23.2,3.73,20.1,141.0,14.0,694.6
2802.T,2802,4293.0,-6.71,28.69,46.6,-6.0,9.2,28.2,2,C-4_MACDダイバージェンス | I-1_安定バランス,114.2,5.56,10.3,115.0,4.5,4120.79
ARM,ARM,137.0,10.59,22.2,66.9,9.8,-0.9,14.3,2,I-2_成長型 | I-4_イベントドリブン,182.5,18.64,11.3,,26.3,145.38
AAPL,AAPL,251.0,-5.52,-7.58,40.7,-3.3,1.9,23.0,2,F-1_高品質コア | I-5_安定重視ドローダウン抑制,31.8,41.93,152.0,41.0,15.7,3696.38
4484.T,4484,307.0,-0.65,0.0,49.1,-1.0,10.2,26.1,2,I-5_安定重視ドローダウン抑制 | I-6_高精度多軸,31.0,3.43,14.4,131.0,25.0,4.97
INFY,INFY,13.0,-4.39,-28.38,34.3,-4.9,-21.1,31.6,2,B-3_高配当低負債 | C-4_MACDダイバージェンス,17.3,5.83,32.7,388.0,3.2,54.28
4689.T,4689,394.0,5.21,-7.93,49.5,1.4,-13.6,12.4,2,B-2_低PER増益 | E-1_自社株買い,13.6,0.91,8.5,185.0,-0.7,2698.22
4385.T,4385,3538.0,-1.31,16.77,54.1,1.4,29.9,18.5,2,I-1_安定バランス | I-2_成長型,20.4,5.26,30.6,,15.4,583.38
ABNB,ABNB,133.0,7.83,-2.86,54.0,1.6,3.1,15.1,2,I-1_安定バランス | I-5_安定重視ドローダウン抑制,32.9,9.73,30.2,,12.0,79.49
MPWR,MPWR,1076.0,-9.55,14.27,47.1,-3.4,16.1,23.3,2,I-1_安定バランス | I-2_成長型,84.0,14.85,19.2,74.0,20.8,52.87
CAVA,CAVA,87.0,27.39,46.71,62.3,9.8,27.2,29.4,2,A-4_一目均衡表三役好転 | E-3_セクターローテーション,161.2,12.97,8.6,,20.9,10.13
LRCX,LRCX,233.0,-3.58,33.36,55.5,2.6,52.7,16.9,2,I-1_安定バランス | I-2_成長型,47.8,28.77,65.6,45.0,22.1,293.04
KLAC,KLAC,1511.0,1.6,19.28,55.9,2.6,31.8,12.6,2,A-4_一目均衡表三役好転 | I-1_安定バランス,44.1,36.26,100.7,50.0,7.2,198.59
RBLX,RBLX,57.0,-8.95,-29.82,36.7,-9.1,-43.8,21.4,1,C-4_MACDダイバージェンス,,102.05,-367.2,,43.2,40.28
ANET,ANET,136.0,6.63,3.47,51.2,1.2,4.2,9.2,1,I-1_安定バランス,49.6,13.8,31.4,,28.9,171.11
AVGO,AVGO,323.0,-2.37,-7.67,47.3,-1.4,-0.7,17.9,1,C-4_MACDダイバージェンス,62.9,5.45,33.4,81.0,16.4,1529.11
PLTR,PLTR,161.0,23.15,-17.15,60.6,10.1,-1.7,18.6,1,E-1_自社株買い,255.3,52.07,26.0,,70.0,384.68
GOOGL,GOOGL,302.0,-2.96,-3.84,42.8,-1.3,16.1,24.8,1,I-5_安定重視ドローダウン抑制,27.9,8.79,35.7,28.0,18.0,3654.02
QCOM,QCOM,128.0,-8.0,-26.08,31.6,-6.1,-18.6,35.5,1,C-4_MACDダイバージェンス,25.9,5.97,21.5,277.0,5.0,137.08
MRVL,MRVL,90.0,15.9,2.9,57.8,7.0,12.2,14.8,1,I-1_安定バランス,29.4,5.34,19.3,27.0,22.1,78.84
COIN,COIN,201.0,25.2,-17.2,53.7,6.5,-29.2,21.7,1,E-1_自社株買い,45.1,3.63,10.1,,-22.2,54.1
LULU,LULU,164.0,-7.71,-22.71,41.8,-4.4,-14.9,22.3,1,C-4_MACDダイバージェンス,12.4,3.86,34.0,,0.8,19.28
MRNA,MRNA,51.0,1.97,58.81,51.4,-1.5,57.3,35.6,1,A-4_一目均衡表三役好転,,2.34,-28.9,,-29.8,20.34
REGN,REGN,737.0,-6.42,-6.08,41.2,-4.1,13.0,13.8,1,I-5_安定重視ドローダウン抑制,17.8,2.42,14.9,51.0,2.5,77.87
VRTX,VRTX,451.0,-6.19,-1.74,42.1,-4.6,2.9,14.1,1,I-5_安定重視ドローダウン抑制,29.4,6.14,22.5,,9.5,114.63
PYPL,PYPL,45.0,3.58,-23.2,49.1,1.2,-27.4,16.7,1,C-4_MACDダイバージェンス,8.4,2.07,25.7,123.0,3.7,42.56
SAP,SAP,178.0,-9.43,-27.27,31.1,-8.5,-30.1,34.6,1,B-3_高配当低負債,25.2,4.04,16.1,167.0,3.3,209.5
ASML,ASML,1370.0,-7.83,29.16,49.1,-2.4,33.3,19.8,1,I-1_安定バランス,47.8,23.28,50.5,64.0,4.9,537.79
6098.T,6098,6539.0,4.06,-26.1,44.0,0.1,-18.9,23.9,1,C-4_MACDダイバージェンス,22.0,5.89,27.3,40.0,5.2,9129.84
