市場,銘柄コード,現在値,RSI14,PER,PBR,ROE(%),売上成長(%),粗利率(%),マッチ戦略数,マッチ戦略,戦略
JP,4578.T,10610.0,53.9,15.5,1.85,12.5,8.4,71.7,9,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,B-2_EPS加速粗利拡大
JP,4578.T,10610.0,53.9,15.5,1.85,12.5,8.4,71.7,9,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,B-3_売上加速FCF改善
JP,4578.T,10610.0,53.9,15.5,1.85,12.5,8.4,71.7,9,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,C-3_EV収益改善
JP,4578.T,10610.0,53.9,15.5,1.85,12.5,8.4,71.7,9,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,F-2_サイバーセキュリティ
JP,4578.T,10610.0,53.9,15.5,1.85,12.5,8.4,71.7,9,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,H-1_グロースモメンタム
JP,4578.T,10610.0,53.9,15.5,1.85,12.5,8.4,71.7,9,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,H-3_テーマ成長加速
JP,4578.T,10610.0,53.9,15.5,1.85,12.5,8.4,71.7,9,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,I-1_高ROIC
JP,4578.T,10610.0,53.9,15.5,1.85,12.5,8.4,71.7,9,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,I-2_ターンアラウンド
JP,4578.T,10610.0,53.9,15.5,1.85,12.5,8.4,71.7,9,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,I-4_高配当成長
JP,8766.T,6857.0,68.3,12.5,2.45,20.7,21.8,36.9,8,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-1_AIデータインフラ | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド,B-1_RuleOf40
