戦略,JP,US,合計,JP銘柄,US銘柄
A-1_高値BK出来高,0,0,0,,
A-2_MA順列ADX,0,0,0,,
A-3_相対強度新高値,0,0,0,,
B-1_RuleOf40,2,4,6,"8766.T,7741.T","LRCX,MRVL,ARM,PLTR"
B-2_EPS加速粗利拡大,7,4,11,"4578.T,8766.T,9270.T,4751.T,7453.T,9433.T,4063.T","LRCX,MRVL,KLAC,AMAT"
B-3_売上加速FCF改善,8,7,15,"4578.T,8766.T,7716.T,8058.T,9270.T,7741.T,4385.T,3197.T","LRCX,MRVL,CAVA,AMD,ANET,MPWR,MU"
C-1_PEG割安成長,0,0,0,,
C-2_低PSR高成長,0,0,0,,
C-3_EV収益改善,6,2,8,"4578.T,8766.T,8058.T,9270.T,4751.T,7453.T","LRCX,ARM"
D-1_EPSサプライズBK,0,0,0,,
D-2_上方修正新高値,0,0,0,,
D-3_自社株買モメンタム,2,3,5,"9433.T,8031.T","LRCX,KLAC,AMAT"
E-1_MACDダイバージェンス,4,4,8,"9270.T,4371.T,7203.T,9984.T","PLTR,LLY,MELI,MSFT"
E-2_ショートスクイーズ,0,0,0,,
F-1_AIデータインフラ,2,0,2,"8766.T,4385.T",
F-2_サイバーセキュリティ,3,1,4,"4578.T,7716.T,4385.T",NET
F-3_バイオヘルステック,0,1,1,,ARM
G-1_CANSLIM完全版,0,0,0,,
G-2_CANSLIM簡易版,0,0,0,,
H-1_グロースモメンタム,2,0,2,"4578.T,7716.T",
H-2_サプライズBK強度,0,0,0,,
H-3_テーマ成長加速,4,1,5,"4578.T,8766.T,7716.T,8058.T",CAVA
H-4_安定ディフェンシブ,1,2,3,3048.T,"AAPL,ABNB"
I-1_高ROIC,3,4,7,"4578.T,8766.T,7741.T","LRCX,MRVL,AMAT,PLTR"
I-2_ターンアラウンド,7,4,11,"4578.T,8766.T,7716.T,8058.T,9270.T,4751.T,7453.T","LRCX,MRVL,ARM,KLAC"
I-3_小型株プレミアム,0,0,0,,
I-4_高配当成長,10,3,13,"4578.T,8058.T,4751.T,7453.T,7741.T,3048.T,2782.T,3436.T,8802.T,9983.T","LRCX,KLAC,JNJ"
