戦略,国内ヒット数,米国ヒット数,合計,国内銘柄,米国銘柄
A-1_高値BK出来高,0,0,0,,
A-2_MA順列ADX,0,0,0,,
A-3_相対強度新高値,2,0,2,4578.T、8058.T,
B-1_RuleOf40,1,2,3,9270.T,ARM、MRVL
B-2_EPS加速粗利拡大,8,0,8,4385.T、4578.T、9270.T、7453.T、8766.T、4751.T、9433.T、4063.T,
B-3_売上加速FCF改善,12,5,17,4385.T、4578.T、9270.T、7453.T、7716.T、3197.T、8058.T、7741.T、7203.T、8316.T、6762.T、8306.T,ARM、MRVL、AAPL、AMD、CAVA
C-1_PEG割安成長,0,0,0,,
C-2_低PSR高成長,0,0,0,,
C-3_EV収益改善,7,1,8,4385.T、4578.T、9270.T、7453.T、8766.T、3197.T、8058.T,ARM
D-1_EPSサプライズBK,0,0,0,,
D-2_上方修正新高値,1,0,1,4385.T,
D-3_自社株買モメンタム,2,0,2,4385.T、8031.T,
E-1_MACDダイバージェンス,6,3,9,4385.T、9270.T、8766.T、7741.T、9984.T、7203.T,AAPL、MELI、MSFT
E-2_ショートスクイーズ,0,0,0,,
F-1_AIデータインフラ,3,1,4,4385.T、9270.T、8766.T,ARM
F-2_サイバーセキュリティ,4,2,6,4385.T、4578.T、7716.T、3197.T,ARM、NET
F-3_バイオヘルステック,1,0,1,8766.T,
G-1_CANSLIM完全版,0,0,0,,
G-2_CANSLIM簡易版,0,0,0,,
H-1_グロースモメンタム,2,0,2,4578.T、7716.T,
H-2_サプライズBK強度,0,0,0,,
H-3_テーマ成長加速,3,1,4,4578.T、7716.T、8058.T,ARM
H-4_安定ディフェンシブ,4,2,6,9983.T、7203.T、3048.T、9022.T,AAPL、ABNB
I-1_高ROIC,3,1,4,4578.T、7453.T、7741.T,MRVL
I-2_ターンアラウンド,9,1,10,4385.T、4578.T、9270.T、7453.T、8766.T、7716.T、3197.T、8058.T、4751.T,ARM
I-3_小型株プレミアム,0,0,0,,
I-4_高配当成長,10,1,11,7453.T、3197.T、7741.T、4751.T、9983.T、3048.T、2782.T、3436.T、6326.T、8802.T,JNJ
