市場,銘柄コード,銘柄名,グロース評価スコア,現在値,RSI14,売上成長(%),粗利率(%),ROE(%),PER,PBR,マッチ戦略数,マッチ戦略,ハイリスク
JP,4385.T,"Mercari, Inc.",20.0,3764.0,62.8,15.4,73.0,30.6,21.7,5.6,9,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | D-2_上方修正新高値 | D-3_自社株買モメンタム | E-1_MACDダイバージェンス | F-1_AIデータインフラ | F-2_サイバーセキュリティ | I-2_ターンアラウンド,False
JP,4578.T,"Otsuka Holdings Co., Ltd.",20.0,11400.0,65.8,8.4,71.7,12.5,16.6,1.98,9,A-3_相対強度新高値 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-1_高ROIC | I-2_ターンアラウンド,False
US,ARM,Arm Holdings plc,18.0,144.4,62.1,26.3,97.5,11.3,195.5,19.7,7,B-1_RuleOf40 | B-3_売上加速FCF改善 | C-3_EV収益改善 | F-1_AIデータインフラ | F-2_サイバーセキュリティ | H-3_テーマ成長加速 | I-2_ターンアラウンド,False
JP,9270.T,Valuence Holdings Inc.,16.0,1804.0,52.6,30.3,25.7,25.0,34.8,2.78,7,B-1_RuleOf40 | B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | E-1_MACDダイバージェンス | F-1_AIデータインフラ | I-2_ターンアラウンド,False
JP,7453.T,"Ryohin Keikaku Co., Ltd.",13.0,3440.0,47.2,15.4,51.7,16.8,35.9,4.97,6,B-2_EPS加速粗利拡大 | B-3_売上加速FCF改善 | C-3_EV収益改善 | I-1_高ROIC | I-2_ターンアラウンド | I-4_高配当成長,False
JP,8766.T,"Tokio Marine Holdings, Inc.",13.0,7511.0,70.0,21.8,36.9,20.7,13.7,2.68,6,B-2_EPS加速粗利拡大 | C-3_EV収益改善 | E-1_MACDダイバージェンス | F-1_AIデータインフラ | F-3_バイオヘルステック | I-2_ターンアラウンド,False
JP,7716.T,Nakanishi Inc.,12.0,2735.0,56.3,9.8,56.7,-2.0,,1.99,5,B-3_売上加速FCF改善 | F-2_サイバーセキュリティ | H-1_グロースモメンタム | H-3_テーマ成長加速 | I-2_ターンアラウンド,False
US,MRVL,"Marvell Technology, Inc.",12.0,95.8,62.2,22.1,51.0,19.3,31.2,5.67,3,B-1_RuleOf40 | B-3_売上加速FCF改善 | I-1_高ROIC,False
JP,3197.T,"Skylark Holdings Co., Ltd.",11.0,3502.0,56.3,11.0,66.7,9.3,47.5,4.25,5,B-3_売上加速FCF改善 | C-3_EV収益改善 | F-2_サイバーセキュリティ | I-2_ターンアラウンド | I-4_高配当成長,False
JP,8058.T,Mitsubishi Corporation,9.0,5762.0,66.3,9.9,8.5,8.5,32.9,2.35,5,A-3_相対強度新高値 | B-3_売上加速FCF改善 | C-3_EV収益改善 | H-3_テーマ成長加速 | I-2_ターンアラウンド,False
JP,7741.T,HOYA Corporation,8.0,27280.0,47.1,10.5,34.1,24.2,45.0,8.98,4,B-3_売上加速FCF改善 | E-1_MACDダイバージェンス | I-1_高ROIC | I-4_高配当成長,False
US,AAPL,Apple Inc.,8.0,254.6,46.1,15.7,47.3,152.0,32.2,42.41,3,B-3_売上加速FCF改善 | E-1_MACDダイバージェンス | H-4_安定ディフェンシブ,False
US,MELI,"MercadoLibre, Inc.",8.0,1609.1,33.8,44.6,50.7,36.0,40.7,12.08,1,E-1_MACDダイバージェンス,False
JP,4751.T,"CyberAgent, Inc.",7.0,1381.0,52.5,14.0,31.6,20.1,23.4,3.76,3,B-2_EPS加速粗利拡大 | I-2_ターンアラウンド | I-4_高配当成長,False
US,AMD,"Advanced Micro Devices, Inc.",7.0,199.1,46.5,34.1,52.5,7.1,76.3,5.15,1,B-3_売上加速FCF改善,False
US,MPWR,"Monolithic Power Systems, Inc.",7.0,1063.1,45.5,20.8,55.2,19.2,82.2,14.64,1,B-3_売上加速FCF改善,False
