ティッカー,銘柄コード,現在値,20日リターン(%),60日リターン(%),RSI14,SMA25乖離(%),SMA200乖離(%),ADX14,マッチ戦略数,マッチ戦略,PER,PBR,ROE(%),配当利回り(%),時価総額(億円)
8766.T,8766,6032.0,-6.88,3.36,47.8,-2.6,0.7,22.6,6,F-1_高品質コア | F-2_低ボラ安定配当 | I-1_安定バランス | I-5_安定重視ドローダウン抑制 | I-6_高精度多軸 | I-10_ディフェンシブ,11.0,2.15,20.7,350.0,113305.0
8058.T,8058,5397.0,10.14,49.92,59.8,4.9,48.5,36.6,5,A-5_相対強度ADX | E-3_セクターローテーション | F-2_低ボラ安定配当 | I-4_イベントドリブン | I-8_モメンタム特化,30.8,2.2,8.5,204.0,198218.0
4063.T,4063,6373.0,14.77,33.63,57.8,5.3,30.1,39.0,5,A-4_一目均衡表三役好転 | A-5_相対強度ADX | E-3_セクターローテーション | F-2_低ボラ安定配当 | I-8_モメンタム特化,24.7,2.76,11.5,166.0,119429.0
4578.T,4578,10720.0,0.99,17.05,56.6,2.0,28.2,30.5,4,A-4_一目均衡表三役好転 | I-1_安定バランス | I-5_安定重視ドローダウン抑制 | I-10_ディフェンシブ,15.6,1.87,12.5,131.0,56582.0
7716.T,7716,2773.0,8.75,44.49,62.2,4.2,33.5,47.0,4,A-4_一目均衡表三役好転 | A-5_相対強度ADX | E-3_セクターローテーション | I-8_モメンタム特化,,2.02,-2.0,216.0,2336.0
7741.T,7741,27800.0,2.53,16.86,52.2,-0.5,25.7,16.9,4,F-2_低ボラ安定配当 | I-1_安定バランス | I-5_安定重視ドローダウン抑制 | I-10_ディフェンシブ,45.7,9.15,24.2,86.0,93986.0
9432.T,9432,159.0,3.66,2.39,66.0,3.3,2.6,22.3,4,B-2_低PER増益 | E-1_自社株買い | I-3_業績修正リバウンド | I-10_ディフェンシブ,12.6,1.36,10.7,334.0,129138.0
7453.T,7453,3516.0,-2.03,18.23,49.6,-1.8,9.7,19.3,4,A-4_一目均衡表三役好転 | F-1_高品質コア | I-1_安定バランス | I-2_成長型,36.8,5.08,16.8,80.0,18658.0
2782.T,2782,4055.0,-7.1,13.74,46.4,-3.9,24.0,25.3,4,F-2_低ボラ安定配当 | I-1_安定バランス | I-5_安定重視ドローダウン抑制 | I-10_ディフェンシブ,25.3,3.19,12.4,197.0,2541.0
9983.T,9983,63430.0,-5.68,12.3,45.1,-3.9,18.6,16.2,3,F-2_低ボラ安定配当 | I-1_安定バランス | I-5_安定重視ドローダウン抑制,45.0,7.77,20.0,85.0,194622.0
4484.T,4484,307.0,-2.23,-0.32,48.9,-1.0,10.6,25.1,3,I-1_安定バランス | I-5_安定重視ドローダウン抑制 | I-6_高精度多軸,30.9,3.43,14.4,130.0,50.0
9270.T,9270,1783.0,3.06,90.9,51.3,0.8,56.4,20.9,3,A-4_一目均衡表三役好転 | I-1_安定バランス | I-9_小型成長株,34.4,2.75,25.0,168.0,235.0
3048.T,3048,1720.0,-2.15,7.03,46.5,-1.5,6.3,14.8,3,F-2_低ボラ安定配当 | I-1_安定バランス | I-10_ディフェンシブ,16.9,1.73,11.0,238.0,2946.0
